rule_id,fault_type,device_class,object_type,condition_expression,fault_subtype,fault_component,root_cause,action_suggestion,confidence,priority,source_case_id,source
RULE-0001,EMI,HF,LINK,has_symptom('SY-0010') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),宽带噪声干扰抬升底噪,启用跳频模式规避,0.85,2,FC-0182,CONSTRUCTED
RULE-0002,EMI,HF,LINK,has_symptom('SY-0009') and has_symptom('SY-0006') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),宽带噪声干扰抬升底噪,启用跳频模式规避,0.85,2,FC-0187,CONSTRUCTED
RULE-0003,EMI,HF,LINK,has_symptom('SY-0009') and has_symptom('SY-0011') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),宽带噪声干扰抬升底噪,启用跳频模式规避,0.85,2,FC-0197,CONSTRUCTED
RULE-0004,EMI,HF,LINK,has_symptom('SY-0011') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),邻频泄漏导致互调,提升发射功率改善信干比,0.85,2,FC-0224,CONSTRUCTED
RULE-0005,EMI,VUHF,LINK,has_symptom('SY-0009') and has_symptom('SY-0011') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),邻近区域同频大功率辐射源,切换至备用频点并上报干扰,0.85,2,FC-0181,CONSTRUCTED
RULE-0006,EMI,VUHF,LINK,has_symptom('SY-0009') and has_symptom('SY-0006') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),扫频干扰周期性覆盖工作频点,调整天线方位形成零陷,0.85,2,FC-0183,CONSTRUCTED
RULE-0007,EMI,VUHF,LINK,has_symptom('SY-0011') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),邻频泄漏导致互调,提升发射功率改善信干比,0.85,2,FC-0184,CONSTRUCTED
RULE-0008,EMI,VUHF,LINK,has_symptom('SY-0010') and device_selftest == 'NORMAL',无(外部干扰),无(外部干扰),邻近区域同频大功率辐射源,切换至备用频点并上报干扰,0.85,2,FC-0186,CONSTRUCTED
RULE-0009,HW_FAILURE,HF,DEVICE,has_symptom('SY-0001') and has_symptom('SY-0002') and device_selftest == 'ALARM_PA',功率放大模块,功率放大模块,功放模块输出级晶体管击穿,更换功放模块,0.85,1,FC-0001,CONSTRUCTED
RULE-0010,HW_FAILURE,HF,DEVICE,has_symptom('SY-0001') and has_symptom('SY-0003') and device_selftest == 'ALARM_PWR',功率放大模块,功率放大模块,功放模块输出级晶体管击穿,更换功放模块,0.85,1,FC-0016,CONSTRUCTED
RULE-0011,HW_FAILURE,HF,DEVICE,has_symptom('SY-0003') and device_selftest == 'ALARM_PWR',功率放大模块,功率放大模块,功放模块输出级晶体管击穿,更换功放模块,0.85,1,FC-0046,CONSTRUCTED
RULE-0012,HW_FAILURE,HF,DEVICE,has_symptom('SY-0003') and device_selftest == 'ALARM_PA',天线馈线,天线馈线,天线馈线接头进水短路,更换馈线及接头并做防水处理,0.85,1,FC-0002,CONSTRUCTED
RULE-0013,HW_FAILURE,HF,DEVICE,has_symptom('SY-0001') and has_symptom('SY-0002') and device_selftest == 'ALARM_PWR',天线馈线,天线馈线,天线馈线接头进水短路,更换馈线及接头并做防水处理,0.85,1,FC-0017,CONSTRUCTED
RULE-0014,HW_FAILURE,HF,DEVICE,has_symptom('SY-0004') and device_selftest == 'ALARM_PWR',天线馈线,天线馈线,天线馈线接头进水短路,更换馈线及接头并做防水处理,0.85,1,FC-0027,CONSTRUCTED
RULE-0015,HW_FAILURE,HF,DEVICE,has_symptom('SY-0001') and has_symptom('SY-0003') and device_selftest == 'FAULT_RF',天线馈线,天线馈线,天线馈线接头进水短路,更换馈线及接头并做防水处理,0.85,1,FC-0032,CONSTRUCTED
RULE-0016,HW_FAILURE,HF,DEVICE,has_symptom('SY-0001') and has_symptom('SY-0002') and device_selftest == 'ALARM_PA',射频开关组件,射频开关组件,射频继电器触点氧化,更换射频继电器,0.85,1,FC-0009,CONSTRUCTED
RULE-0017,HW_FAILURE,HF,DEVICE,has_symptom('SY-0004') and device_selftest == 'FAULT_RF',射频开关组件,射频开关组件,射频继电器触点氧化,更换射频继电器,0.85,1,FC-0019,CONSTRUCTED
RULE-0018,HW_FAILURE,HF,DEVICE,has_symptom('SY-0001') and has_symptom('SY-0003') and device_selftest == 'ALARM_PWR',射频开关组件,射频开关组件,射频继电器触点氧化,更换射频继电器,0.85,1,FC-0024,CONSTRUCTED
